zipcode,state,income,cbsa_income,state_income,latitude,longitude
45362,OH,58750,72285,79470,40.27,-84.63
45363,OH,92188,82974,79470,40.23,-84.41
45365,OH,81059,82974,79470,40.28,-84.16
45367,OH,1000000,82974,79470,40.28,-84.16
45368,OH,76000,80365,79470,39.82,-83.64
45369,OH,93893,89663,79470,39.92,-83.61
45370,OH,133929,80365,79470,39.61,-84
45371,OH,98287,80365,79470,39.96,-84.18
45372,OH,66429,67092,79470,40.02,-83.84
45373,OH,95400,80365,79470,40.04,-84.21
45374,OH,1000000,80365,79470,40.04,-84.21
45377,OH,84522,80365,79470,39.87,-84.19
45378,OH,86000,80365,79470,39.9,-84.49
45380,OH,92898,82974,79470,40.22,-84.48
45381,OH,74883,80365,79470,39.74,-84.53
45382,OH,75313,72285,79470,39.9,-84.62
45383,OH,64925,80365,79470,39.95,-84.32
45384,OH,81591,80365,79470,39.71,-83.88
45385,OH,84192,80365,79470,39.68,-83.94
45387,OH,111193,80365,79470,39.79,-83.89
45388,OH,104375,86785,79470,40.32,-84.49
45389,OH,71328,75285,79470,40.06,-84.03
45390,OH,68125,72285,79470,40.19,-84.79
45401,OH,1000000,80365,79470,39.77,-84.19
45402,OH,48036,80365,79470,39.76,-84.21
45403,OH,37104,80365,79470,39.77,-84.15
45404,OH,35429,80365,79470,39.79,-84.16
45405,OH,38994,80365,79470,39.77,-84.19
45406,OH,43741,80365,79470,39.78,-84.24
45409,OH,102016,80365,79470,39.72,-84.19
45410,OH,43788,80365,79470,39.75,-84.16
45412,OH,1000000,null,79470,39.77,-84.19
45413,OH,1000000,80365,79470,39.77,-84.19
45414,OH,71717,80365,79470,39.85,-84.21
45415,OH,79946,80365,79470,39.84,-84.26
45416,OH,59817,80365,79470,39.81,-84.26
45417,OH,37986,80365,79470,39.74,-84.29
45419,OH,111206,80365,79470,39.71,-84.17
45420,OH,66014,80365,79470,39.72,-84.13
45422,OH,1000000,80365,79470,39.77,-84.19
45423,OH,0,80365,79470,39.77,-84.19
45424,OH,83898,80365,79470,39.84,-84.11
45426,OH,47127,80365,79470,39.8,-84.32
45428,OH,1000000,80365,79470,39.74,-84.26
45429,OH,88510,80365,79470,39.68,-84.16
45430,OH,96745,80365,79470,39.71,-84.08
45431,OH,91765,80365,79470,39.76,-84.08
45432,OH,88988,80365,79470,39.74,-84.09
45433,OH,64247,80365,79470,39.82,-84.05
45434,OH,141406,80365,79470,39.72,-84.03
45435,OH,1000000,80365,79470,39.77,-84.19
45437,OH,1000000,80365,79470,39.77,-84.19
